address;district;area;bedrooms;garage;type;rent;total;cep;Zona
Rua Ipaobi;Vila Babilonia;57;2;1;Apartamento;2380;2472;04351-050;Sul
Rua Guararapes;Brooklin Paulista;49;1;1;Apartamento;2472;4074;04561-000;Sul
Rua Aracuípe;Jardim Prudência;63;2;1;Apartamento;3500;4557;04649-020;Sul
Rua São Sebastião;Vila da Saúde;32;1;1;Studio e kitnet;1500;2012;04144-060;Sul
Rua Professor Raul Pederneiras;Vila Marte;40;2;0;Apartamento;1250;1556;04250-040;Sul
Rua Alencar Araripe;Sacomã;18;1;0;Casa;760;872;04253-000;Sul
Rua Nossa Senhora da Saúde;Jardim Previdencia;22;1;0;Casa;1190;1263;04159-090;Sul
Rua Doutora Neyde Apparecida Sollitto;Vila Clementino;25;1;0;Apartamento;980;993;04022-040;Sul
Avenida Marginal Direita Anchieta;Vila Arapuã;64;2;1;Apartamento;1938;2631;04247-010;Sul
Rua Coronel Luís Barroso;Santo Amaro;34;1;1;Studio e kitnet;3250;4196;04750-030;Sul
Rua Doutora Neyde Apparecida Sollitto;Vila Clementino;28;1;0;Studio e kitnet;1200;1216;04022-040;Sul
Rua Elisa Silveira;Vila Santo Estefano;130;5;2;Casa;8000;8699;04152-000;Sul
Rua Tuim;Vila Uberabinha;65;1;2;Apartamento;3100;5996;04514-100;Sul
Rua Virgílio Várzea;Itaim Bibi;66;2;1;Apartamento;3600;5096;04534-050;Sul
Rua Antônio Gomes Ferreira;Parque Fongaro;33;2;0;Studio e kitnet;1200;1627;04257-100;Sul
Avenida Professor Sylla Mattos;Jardim Santa Cruz (sacomã);84;4;2;Apartamento;1900;2324;04182-010;Sul
Rua Sampaio Viana;Paraíso;39;1;1;Studio e kitnet;3950;5109;04013-001;Sul
Praça Osvaldo Navarro;Vila Moinho Velho;15;1;0;Casa;650;724;04285-020;Sul
Rua João José Pacheco;Jardim Vila Mariana;22;1;0;Studio e kitnet;2700;3438;04116-120;Sul
Rua Malebranche;Jardim Vila Mariana;70;3;2;Apartamento;3734;5719;04116-160;Sul
Rua Landizal;São João Climaco;61;2;1;Apartamento;1700;2316;04256-060;Sul
Rua Doutor José de Queirós Aranha;Vila Mariana;85;2;1;Apartamento;4080;5398;04106-060;Sul
Rua Leandro Dupret;Vila Clementino;17;1;0;Studio e kitnet;1200;1961;04025-010;Sul
Avenida Doutor Altino Arantes;Vila Clementino;96;3;1;Apartamento;4500;6059;04042-000;Sul
Rua Pascal;Campo Belo;51;1;1;Apartamento;4200;5692;04601-000;Sul
Alameda Jauaperi;Indianópolis;21;1;0;Studio e kitnet;3700;4467;04523-010;Sul
Rua Teixeira da Silva;Paraíso;90;2;1;Apartamento;3200;4621;04002-030;Sul
Rua Azevedo Macedo;Vila Mariana;26;1;0;Apartamento;3200;3768;04013-060;Sul
Rua Gazeta;Vila Fachini;35;1;0;Casa;690;719;04329-100;Sul
Rua Viaza;Jardim Aeroporto;43;1;1;Apartamento;3200;3973;04633-050;Sul
Rua Céu Tropical;Conjunto Residencial Jardim Canaã;60;2;1;Casa;3500;3648;04382-120;Sul
Rua Davi Hume;Vila Mariana;22;1;0;Apartamento;2850;3527;04116-130;Sul
Rua Leopoldo Couto Magalhães Júnior;Itaim Bibi;95;3;1;Apartamento;4600;6161;04506-000;Sul
Rua Paula Ney;Vila Mariana;24;1;0;Studio e kitnet;3000;3566;04107-020;Sul
Avenida Rubem Berta;Indianópolis;27;1;0;Studio e kitnet;3200;3998;04074-010;Sul
Rua Paula Ney;Vila Mariana;40;1;1;Studio e kitnet;5500;6612;04107-020;Sul
Rua Alvorada;Vila Olímpia;56;2;2;Apartamento;2605;4251;04550-003;Sul
Rua Michigan;Cidade Monções;33;1;1;Studio e kitnet;3372;4106;04566-000;Sul
Rua Agostinho Rodrigues Filho;Vila Clementino;26;1;0;Studio e kitnet;3500;4259;04026-040;Sul
Rua Alvorada;Vila Olímpia;25;1;1;Studio e kitnet;3500;4610;04550-003;Sul
Rua Engenheiro Jorge Oliva;Vila Mascote;60;2;1;Apartamento;2600;3780;04362-060;Sul
Avenida Jamaris;Planalto Paulista;42;1;1;Studio e kitnet;3200;4507;04078-000;Sul
Avenida Aratãs;Indianópolis;75;3;2;Apartamento;4400;6614;04029-200;Sul
Rua Professor Tamandaré Toledo;Itaim Bibi;45;1;1;Apartamento;3401;4900;04532-020;Sul
Rua Casa do Ator;Vila Olímpia;28;1;1;Studio e kitnet;3696;4728;04546-000;Sul
Avenida Jamaris;Planalto Paulista;39;1;1;Studio e kitnet;1626;3237;04078-000;Sul
Rua Professor José Leite E Oiticica;Vila Gertrudes;50;1;1;Apartamento;7500;8505;04705-080;Sul
Avenida Ibijaú;Moema;41;1;1;Studio e kitnet;1950;3694;04523-010;Sul
Avenida Presidente Juscelino Kubitschek;Vila Nova Conceição;82;1;1;Apartamento;11500;13920;04506-000;Sul
Rua Diogo Jácome;Moema;74;1;2;Apartamento;11000;13280;04512-000;Sul
Rua Coronel Oscar Porto;Paraíso;80;1;2;Apartamento;10000;12890;04003-000;Sul
Rua Diogo Jácome;Vila Nova Conceição;48;1;1;Apartamento;5830;7318;04512-000;Sul
Rua Sansão Alves dos Santos;Cidade Monções;40;1;1;Apartamento;4500;6086;04571-090;Sul
Rua Jatobás;Vila Parque Jabaquara;40;1;1;Apartamento;2000;2701;04349-010;Sul
Rua Nossa Senhora da Saúde;Jardim Previdência;58;2;1;Apartamento;2100;2581;04159-090;Sul
Rua Vigário Albernaz;Vila Gumercindo;74;2;2;Apartamento;2600;3951;04134-020;Sul
Rua Dona Leopoldina;Ipiranga;96;3;2;Apartamento;5000;8046;04278-040;Sul
Avenida Engenheiro Armando de Arruda Pereira;Vila do Encontro;70;3;1;Apartamento;2200;2904;04045-010;Sul
Rua Capitão Otávio Machado;Chácara Santo Antônio (zona Sul);97;3;2;Apartamento;3800;5229;04714-050;Sul
Rua das Perobas;Vila Parque Jabaquara;84;3;1;Apartamento;2250;3237;04321-120;Sul
Rua Sansão Alves dos Santos;Cidade Monções;108;2;2;Apartamento;13000;15800;04571-090;Sul
Rua Tenente Negrão;Itaim Bibi;36;1;1;Studio e kitnet;3500;5810;04530-030;Sul
Rua Jaci;Chácara Inglesa;68;2;2;Apartamento;3034;4063;04140-080;Sul
Rua Humberto I;Vila Mariana;41;1;1;Apartamento;5000;6093;04011-060;Sul
Avenida João Barreto de Menezes;Vila Santa Catarina;57;2;1;Apartamento;1800;2653;04370-006;Sul
Avenida Miguel Stéfano;Bosque da Saúde;57;2;1;Apartamento;2200;2884;04301-000;Sul
Rua Saturnino dos Santos;Vila Firmiano Pinto;55;2;0;Apartamento;2200;2438;04124-150;Sul
Rua Vítor Dubugras;Jardim da Glória;120;2;2;Casa;3380;3923;04114-100;Sul
Rua Antônio de Lotufo;Sacomã;38;1;0;Casa;800;883;04242-090;Sul
Rua Salvador Simões;Vila Dom Pedro I;198;3;3;Casa;5000;5458;04276-000;Sul
Rua Leontina Attuy Nogueira;Jardim Santo Amaro;130;2;2;Casa;4000;4280;04741-060;Sul
Rua dos Jornalistas;Cidade Vargas;75;2;3;Casa;2500;2706;04318-000;Sul
Rua Pintassilgo;Vila Uberabinha;50;1;1;Apartamento;2800;3480;04514-030;Sul
Rua Clemente Pereira;Ipiranga;34;1;0;Casa;1420;1499;04216-060;Sul
Rua Rafael Ficondo;Vila Brasilina;90;3;1;Apartamento;1900;1974;04163-050;Sul
Rua Aquiles Jovane;Jardim Celeste;52;2;1;Apartamento;1200;1863;04195-150;Sul
Rua Ulisses Paschoal;Jardim Lourdes;35;1;0;Studio e kitnet;980;1111;04328-040;Sul
Rua Assungui;Vila Gumercindo;50;1;1;Casa;1680;1870;04131-000;Sul
Rua Bom Pastor;Ipiranga;56;1;0;Apartamento;3000;3276;04203-050;Sul
Rua Pampa;Cidade Vargas;60;1;0;Apartamento;1400;1554;04318-060;Sul
Rua Marquês Maricá;Sacomã;50;2;1;Apartamento;1800;2424;04252-000;Sul
Rua Costa Aguiar;Ipiranga;70;3;0;Casa;4410;4597;04204-000;Sul
Rua Guaniqué;Vila Natalia;96;2;1;Casa;1800;1876;04251-050;Sul
Rua Coronel Francisco Júlio César Alfieri;Vila Sao Paulo;50;2;1;Apartamento;1650;2134;04651-000;Sul
Rua João Mafra;Vila Brasílio Machado;45;2;0;Casa;1195;1316;04288-000;Sul
Avenida Washington Luís;Santo Amaro;58;2;1;Apartamento;2200;2948;04626-911;Sul
Rua Labatut;Ipiranga;52;2;0;Apartamento;2300;2389;04214-000;Sul
Rua Rio Grande;Vila Mariana;67;2;0;Apartamento;2600;3182;04018-000;Sul
Rua Doutor Nicolau Alberto Defina;Jardim da Saúde;68;2;1;Apartamento;1294;2066;04291-000;Sul
Rua Doutor Nogueira Martins;Saúde;39;1;0;Casa;1500;1563;04143-020;Sul
Rua Paranapanema;Vila da Saúde;60;2;1;Apartamento;2390;3355;04144-100;Sul
Rua Doutor José de Queirós Aranha;Vila Mariana;58;2;1;Apartamento;2200;3065;04106-060;Sul
Rua Augusto Blasi;Jardim Celeste;54;2;1;Apartamento;780;1485;04195-160;Sul
Rua Wilson Ribeiro Bonfim;Vila Inglesa;37;2;0;Apartamento;1350;1802;04653-230;Sul
Avenida Senador Casemiro da Rocha;Mirandópolis;76;2;0;Apartamento;2799;3277;04047-000;Sul
Rua Rubens Sverner;Chácara Santo Antônio (zona Sul);22;1;0;Studio e kitnet;1900;1991;04713-040;Sul
Rua Galeno de Castro;Jurubatuba;40;2;0;Apartamento;2310;2674;04696-040;Sul
Rua José Antônio Coelho;Vila Mariana;36;1;1;Apartamento;2000;2578;04011-060;Sul
Rua Alencar Araripe;Jardim Santa Cruz (sacomã);82;3;2;Apartamento;3000;3859;04253-000;Sul
Rua Carlos Petit;Vila Mariana;35;1;1;Studio e kitnet;3800;3950;04102-000;Sul
Rua David Eid;Vila do Castelo;60;2;2;Apartamento;2978;3753;04438-000;Sul
Rua Ibirajá;Vila Guarani;63;2;1;Apartamento;4200;4834;04310-020;Sul
Rua Pereira Barreto;Santo Amaro;83;3;2;Apartamento;5000;6017;04744-010;Sul
Avenida Miguel Estefno;Saúde;74;2;1;Apartamento;2700;3554;04301-000;Sul
Rua Doutora Neyde Apparecida Sollitto;Vila Clementino;35;1;0;Apartamento;1320;1371;04022-040;Sul
Rua Vieira de Morais;Campo Belo;39;1;1;Apartamento;2300;3391;04601-000;Sul
Avenida Piassanguaba;Planalto Paulista;27;1;0;Studio e kitnet;1200;1339;04060-000;Sul
Rua Bom Pastor;Ipiranga;36;1;1;Apartamento;2500;3316;04203-050;Sul
Rua Galileu;Jardim Aeroporto;45;1;0;Casa;1458;1690;04632-040;Sul
Rua dos Patriotas;Ipiranga;90;2;1;Apartamento;2700;3554;04261-050;Sul
Rua Alexandre Gusmão;Vila Socorro;48;1;0;Casa;970;1012;04760-020;Sul
Rua Barão Triunfo;Brooklin Paulista;170;3;2;Apartamento;4500;8023;04602-007;Sul
Rua Conceição Marcondes Silva;Vila Congonhas;80;2;1;Casa;3000;3050;04624-090;Sul
Rua Atos Damasceno;Vila Santa Catarina;70;2;1;Apartamento;2550;2649;04372-000;Sul
Rua Bandeira Paulista;Itaim Bibi;54;1;1;Apartamento;4400;5611;04532-010;Sul
Rua Paracatu;Parque Imperial;55;2;1;Apartamento;1800;2603;04302-020;Sul
Rua Dom Lúcio de Sousa;Vila Gumercindo;120;2;2;Casa;3200;3527;04129-040;Sul
Rua Kalil Nader Habr;Vila Santo Estéfano;50;1;0;Studio e kitnet;750;779;04154-030;Sul
Rua dos Buritis;Jabaquara;43;1;1;Apartamento;2000;2721;04321-000;Sul
Avenida Washington Luís;Santo Amaro;65;2;1;Apartamento;2200;2964;04626-911;Sul
Rua Michael Faraday;Cidade Monções;34;1;0;Casa;1360;1557;04576-040;Sul
Rua Afonso Bandeira de Melo;Campo Belo;60;2;1;Apartamento;2620;3967;04613-060;Sul
Rua Borges Lagoa;Vila Clementino;16;1;0;Studio e kitnet;1020;1713;04038-000;Sul
Rua Estilo Barroco;Santo Amaro;84;2;1;Apartamento;3540;4706;04709-100;Sul
Rua Alagoas;Centro;136;2;2;Apartamento;4600;5864;04849-523;Sul
Avenida do Café;Vila Guarani (z Sul);45;1;1;Apartamento;2800;3658;04311-001;Sul
Avenida Barro Branco;Vila do Encontro;30;1;0;Casa;1100;1182;04324-090;Sul
Rua Casa do Ator;Vila Olímpia;37;1;1;Studio e kitnet;3696;4620;04546-000;Sul
Rua Augusta Santel;Jardim Celeste;54;2;1;Apartamento;2000;2756;04195-120;Sul
Rua Capitão Leovigildo Silvério Gomes dos Reis;Planalto Paulista;27;1;0;Apartamento;1400;1568;04069-030;Sul
Rua Lino Coutinho;Ipiranga;147;3;2;Apartamento;10000;12190;04207-000;Sul
Rua Giovanni Boltraffio;Sacoma;63;2;1;Apartamento;1850;2541;04190-050;Sul
Rua Coronel Luís Barroso;Santo Amaro;33;1;1;Apartamento;2550;3379;04750-030;Sul
Rua Célio;Vila Moraes;30;2;0;Casa;550;574;04168-030;Sul
Rua Ibirajá;Vila Guarani (zona Sul);80;2;2;Apartamento;3600;5288;04310-020;Sul
Rua Doutor Nicolau Alberto Defina;Jardim da Saúde;66;2;1;Apartamento;1460;2235;04291-000;Sul
Rua Desembargador Aragão;Vila Mariana;22;1;0;Apartamento;2800;3293;04102-010;Sul
Rua Antônio Gomes Ferreira;Parque Fongaro;35;2;1;Apartamento;1388;1871;04257-100;Sul
Rua Castilho;Brooklin;67;2;1;Apartamento;5750;7059;04568-010;Sul
Rua Gomes de Carvalho;Vila Olímpia;74;2;1;Apartamento;3300;4476;04547-000;Sul
Rua Abrahão Calux;Vila Moinho Velho;78;3;1;Apartamento;2800;4063;04286-100;Sul
Rua João de Sousa Dias;Campo Belo;77;3;2;Apartamento;3300;4425;04618-000;Sul
Avenida Miruna;Indianópolis;30;1;0;Apartamento;2610;3609;04084-000;Sul
Rua Carneiro da Cunha;Vila da Saúde;77;2;2;Apartamento;2430;3647;04045-001;Sul
Rua Dionísio da Costa;Vila Mariana;38;1;1;Studio e kitnet;5200;6330;04117-110;Sul
Rua Humberto I;Vila Mariana;22;1;0;Apartamento;2800;3259;04011-060;Sul
Avenida Conselheiro Rodrigues Alves;Vila Mariana;90;3;1;Apartamento;3366;4817;04014-000;Sul
Avenida Rouxinol;Indianópolis;35;1;1;Apartamento;2800;3978;04506-000;Sul
Avenida Jurema;Indianópolis;78;2;1;Apartamento;4200;6119;04079-000;Sul
Rua Fiandeiras;Vila Olímpia;40;1;1;Apartamento;2300;4009;04506-000;Sul
Alameda Jauaperi;Indianópolis;20;1;0;Studio e kitnet;3800;4449;04523-010;Sul
Rua Humberto I;Vila Mariana;21;1;0;Apartamento;2500;3146;04011-060;Sul
Rua José de Camargo;Vila Mariana;98;3;1;Apartamento;2500;4007;04139-010;Sul
Rua França Pinto, 1255 - Vila Mariana, São Paulo - Sp, Brasil;Vila Mariana;96;3;1;Apartamento;3000;3920;04016-035;Sul
Rua Flórida;Cidade Monções;98;2;2;Apartamento;7650;10330;04565-000;Sul
Rua Afonso Bandeira de Melo;Campo Belo;65;1;1;Apartamento;2800;3964;04613-060;Sul
Avenida Macuco;Moema;60;2;1;Apartamento;3900;5903;04520-000;Sul
Rua Jorge Tibiriçá;Vila Mariana;80;3;2;Apartamento;6000;7533;04119-000;Sul
Rua Ministro Roberto Cardoso Alves;Jardim Novo Santo Amaro;50;2;0;Apartamento;1900;2350;04750-020;Sul
Rua Tuim;Vila Uberabinha;43;1;1;Apartamento;3000;4816;04514-100;Sul
Avenida Doutor Cardoso de Melo;Vila Olímpia;75;2;2;Apartamento;11250;12830;04548-000;Sul
Rua Professor Atílio Innocenti;Vila Nova Conceição;48;1;1;Apartamento;3733;5189;04538-000;Sul
Alameda dos Aicás;Indianópolis;48;1;1;Apartamento;2500;3632;04062-003;Sul
Rua Doutora Neyde Apparecida Sollitto;Vila Clementino;46;1;1;Studio e kitnet;5000;6673;04022-040;Sul
Rua Alvorada;Vila Olímpia;60;2;1;Apartamento;6500;8359;04550-003;Sul
Rua Casa do Ator;Vila Olímpia;93;2;2;Apartamento;15000;18090;04546-000;Sul
Rua Henrique Fausto Lancellotti;Nova Piraju;29;1;1;Studio e kitnet;3500;4754;04625-005;Sul
Rua Comendador Miguel Calfat;Vila Nova Conceição;70;2;1;Apartamento;5500;6913;04537-080;Sul
Rua Bueno Brandão;Vila Nova Conceição;100;3;1;Apartamento;5900;7969;04509-020;Sul
Rua Heinrich Hertz;Cidade Monções;30;1;1;Studio e kitnet;3000;4975;04575-000;Sul
Avenida Cupecê;Jardim Prudência;40;2;0;Apartamento;1800;2199;04366-000;Sul
Rua Álvaro Rodrigues;Vila Cordeiro;43;1;1;Studio e kitnet;3000;3898;04582-000;Sul
Avenida João Dias;Santo Amaro;67;2;0;Apartamento;2100;2898;04724-000;Sul
R. Palmares;Brooklin Paulista;119;2;0;Casa;2035;2137;04623-070;Sul
Rua Elba;Sacomã;60;2;1;Casa;1500;1699;04285-000;Sul
Rua Bartolomeu Feio;Vila Cordeiro;116;2;1;Casa;3500;3864;04580-000;Sul
Rua Doutor Nogueira Martins;Vila da Saúde;40;1;0;Casa;2000;2085;04143-020;Sul
Rua Itavuru;Planalto Paulista;100;3;1;Apartamento;3000;3588;04069-020;Sul
Rua Luís Carlos Paraná;Jardim Cidália;20;1;0;Studio e kitnet;1050;1321;04652-170;Sul
Rua Professor Aristides de Macedo;Vila Mariana;62;2;1;Apartamento;2500;2996;04106-080;Sul
Rua Manharaçu;Vila Natália;80;2;1;Casa;1900;1981;04251-080;Sul
Avenida Túlio Teodoro de Campos;Vila Mascote;55;3;2;Apartamento;3200;3296;04360-040;Sul
Rua Gregório de Morais Rego;Jardim Consorcio;35;1;0;Casa;1200;1317;04436-060;Sul
Rua Malvina Ferrara Samarone;Vila Dom Pedro I;45;1;1;Apartamento;2500;3106;04279-035;Sul
Rua Conde Vicente de Azevedo;Vila Monumento;70;2;1;Apartamento;1900;2456;04264-000;Sul
Rua Isabel de Góis;Jardim Botucatu;60;3;1;Apartamento;1290;1927;04173-150;Sul
Rua da União;Vila Mariana;30;1;0;Apartamento;1980;2078;04107-010;Sul
Alameda Itupiranga;Saúde;59;2;0;Casa;2100;2189;04294-090;Sul
Rua Doutor Diogo de Faria;Vila Clementino;32;1;0;Studio e kitnet;3000;3630;04037-000;Sul
Rua Astrolábio;Vila do Encontro;150;2;1;Casa;1554;1620;04324-190;Sul
Rua Conde de Irajá;Vila Mariana;68;1;0;Apartamento;2200;2648;04119-010;Sul
Rua Sargento José Spessoto;Vila Mariana;60;1;0;Casa;2100;2440;04016-060;Sul
Rua José Antônio Coelho;Vila Mariana;31;1;0;Apartamento;2800;2908;04011-060;Sul
Rua Loefgreen;Vila Clementino;140;2;4;Casa;4000;4504;04122-020;Sul
Rua Estado de Israel;Vila Clementino;46;1;1;Apartamento;4300;5235;04022-000;Sul
Rua Gregório de Morais Rego;Jardim Consorcio;30;1;0;Casa;1100;1213;04436-060;Sul
Rua Freire Farto;Jabaquara;104;2;2;Casa;3200;3577;04343-120;Sul
Rua Júlia della Casa Paula;Vila Mariana;100;2;1;Casa em condomínio;5500;5852;04117-070;Sul
Rua Rosália de Castro;Vila Campestre;109;2;2;Casa;1900;1981;04330-100;Sul
Rua do Manifesto;Ipiranga;67;2;2;Apartamento;2800;3756;04201-050;Sul
Rua Juçara;Bosque da Saúde;120;2;1;Casa;3366;3609;04137-060;Sul
Avenida Benigno Carrera;Vila Campestre;35;1;0;Casa em condomínio;843;930;04332-110;Sul
Rua Domingos de Morais;Vila Mariana;25;1;0;Studio e kitnet;1650;1913;04010-000;Sul
Rua Marquês de Lages;Vila das Mercês;72;3;1;Apartamento;1600;2425;04154-000;Sul
Rua Domingos Antonio Ciccone;Vila Sao Francisco (zona Sul);245;3;2;Casa;5000;5523;04710-220;Sul
Rua Guilherme Asbahr Neto;Chácara Monte Alegre;120;2;1;Casa;4500;4816;04646-000;Sul
Rua José Jardim da Silveira;Jardim Taquaral;34;2;0;Apartamento;1697;2258;04674-230;Sul
Avenida Vereador José Diniz;Alto da Boa Vista;26;1;0;Apartamento;2800;3246;04604-000;Sul
Rua Luís Góis;Mirandópolis;36;1;0;Studio e kitnet;1600;1902;04043-300;Sul
Rua Catulo da Paixão Cearense;Vila da Saúde;85;2;2;Apartamento;4095;5438;04145-010;Sul
Rua Borges Lagoa;Vila Clementino;13;1;0;Studio e kitnet;900;1512;04038-000;Sul
Rua Luís Góis;Mirandópolis;58;2;0;Apartamento;2400;3193;04043-300;Sul
Rua Joaquim Morais;Vila Santa Catarina;50;2;1;Apartamento;1500;2353;04370-020;Sul
Rua Itamiami;Vila Mariana;70;3;1;Apartamento;2500;3316;04120-100;Sul
Rua Pascal;Campo Belo;36;1;1;Studio e kitnet;3120;3999;04601-000;Sul
Rua Malvina Ferrara Samarone;Vila Nancy;42;1;1;Apartamento;2350;2961;04279-035;Sul
Rua Heinrich Biber;Vila Moraes;24;1;0;Casa em condomínio;600;650;04174-170;Sul
Rua Vicente Fernandes Pinto;Vila Santo Estefano;50;1;1;Casa;1880;1960;04156-000;Sul
Rua São Benedito;Santo Amaro;95;2;1;Apartamento;2700;3540;04849-329;Sul
Rua Getúlio Soares da Rocha;Jardim das Acácias;38;1;0;Apartamento;2250;2750;04704-050;Sul
Rua Paulo Martinez;Jardim Seckler;29;1;0;Apartamento;965;1003;04242-150;Sul
Rua Doutora Neyde Apparecida Sollitto;Vila Clementino;18;1;0;Studio e kitnet;1161;1206;04022-040;Sul
Rua Doutor João Clímaco Pereira;Itaim Bibi;38;1;1;Studio e kitnet;3750;5048;04532-070;Sul
Rua Napoleão de Barros;Vila Clementino;72;2;1;Apartamento;2640;3562;04019-000;Sul
Rua Tenente Mauro de Miranda;Jabaquara;72;3;0;Apartamento;2150;2628;04345-030;Sul
Rua das Flechas;Vila Santa Catarina;86;2;2;Apartamento;4150;5543;04364-030;Sul
Rua Major Freire;Vila Monte Alegre;63;2;1;Apartamento;1734;2807;04306-000;Sul
Avenida João Peixoto Viegas;Vila Constancia;75;1;2;Apartamento;3000;4219;04437-000;Sul
Avenida Bosque da Saúde;Vila da Saúde;19;1;0;Apartamento;1300;1520;04045-001;Sul
Avenida Washington Luís;Santo Amaro;60;2;1;Apartamento;1837;2555;04626-911;Sul
Rua Professor Arnaldo João Semeraro;Jardim Santa Emília;63;2;1;Apartamento;1600;2322;04183-000;Sul
Rua Anny;São João Climaco;50;2;1;Apartamento;2400;2923;04241-000;Sul
Rua Pascal;Campo Belo;38;1;0;Studio e kitnet;3200;3882;04601-000;Sul
Rua Vieira de Morais;Campo Belo;57;1;1;Apartamento;4000;5198;04601-000;Sul
Avenida Portugal;Vila Cordeiro;170;3;3;Casa;8500;9348;04555-010;Sul
Rua Gandavo;Vila Clementino;58;2;0;Apartamento;2500;3822;04023-000;Sul
Rua Professor Arnaldo João Semeraro;Jardim Santa Emília;41;2;1;Apartamento;2408;2836;04183-000;Sul
Rua David Eid;Vila do Castelo;65;3;1;Apartamento;2220;2988;04438-000;Sul
Alameda Santos;Jardim Paulista;62;2;1;Apartamento;5770;7010;04003-000;Sul
Rua Afonso Braz;Vila Nova Conceição;47;1;1;Apartamento;3900;5476;04501-001;Sul
Rua do Paraíso;Paraíso;43;1;1;Apartamento;3360;4450;04103-001;Sul
Avenida dos Carinás;Indianópolis;26;1;0;Studio e kitnet;3250;3945;04086-010;Sul
Avenida Miruna;Indianópolis;42;1;1;Apartamento;2540;3788;04084-000;Sul
Rua Teixeira da Silva;Paraíso;109;2;1;Apartamento;4000;5920;04002-030;Sul
Rua Antônio da Silva Lobo Júnior;Cidade Domitila;40;1;0;Casa;850;887;04387-050;Sul
Rua Major Maragliano;Vila Mariana;15;1;0;Studio e kitnet;2973;4105;04017-030;Sul
Rua Alba;Vila Santa Catarina;81;2;1;Apartamento;4600;5722;04346-090;Sul
Rua Humberto I;Vila Mariana;16;1;0;Studio e kitnet;2400;3067;04011-060;Sul
Rua Desembargador Aragão;Vila Mariana;22;1;0;Studio e kitnet;2836;3526;04102-010;Sul
Rua Araguari;Vila Uberabinha;48;1;1;Apartamento;3700;5569;04514-040;Sul
Rua Doutor Diogo de Faria;Vila Clementino;24;1;0;Studio e kitnet;2750;3356;04037-000;Sul
Rua José Antônio Coelho;Vila Mariana;50;2;0;Apartamento;2639;3148;04011-060;Sul
Rua Tiangua;Vila Mascote;56;2;1;Apartamento;2142;3230;04363-100;Sul
R. das Nhandirobas - Jardim Oriental, São Paulo - Sp, Brasil;Jardim Oriental;14;1;0;Apartamento;1500;1520;04349-030;Sul
Rua Correia de Lemos;Chácara Inglesa;80;2;1;Apartamento;2900;4292;04140-000;Sul
Rua do Rocio;Vila Olímpia;112;3;2;Apartamento;9500;12020;04552-000;Sul
Avenida Giovanni Gronchi;Vila Andrade;98;2;2;Apartamento;3000;4266;04533-085;Sul
Rua Gomes de Carvalho;Vila Olímpia;76;3;1;Apartamento;6800;8455;04547-000;Sul
Avenida Jandira;Indianópolis;212;3;2;Apartamento;15000;17250;04080-007;Sul
Rua Stela Marina;Brooklin;25;1;0;Apartamento;3300;3884;04601-090;Sul
Rua Marcos Lopes;Vila Nova Conceição;100;1;2;Apartamento;15000;17530;04513-080;Sul
Rua Florânia;Vila Nair;40;1;0;Casa;1200;1427;04281-080;Sul
Rua Leopoldo Couto de Magalhães Júnior;Itaim Bibi;47;1;1;Apartamento;6800;8479;04506-000;Sul
Rua Bartolomeu Feio;Vila Cordeiro;95;3;1;Apartamento;3500;4835;04580-000;Sul
Rua Manuel Cherem;Vila Paulista;64;3;1;Apartamento;2500;3263;04360-030;Sul
Rua Flórida;Cidade Monções;39;1;1;Apartamento;3600;4344;04565-000;Sul
Rua Calixto da Mota;Vila Mariana;44;1;1;Studio e kitnet;4200;5812;04117-100;Sul
Rua Coriolano Durand;Vila Santa Catarina;40;1;1;Apartamento;1791;1884;04375-050;Sul
Rua Casa do Ator;Vila Olímpia;74;2;1;Apartamento;13500;15650;04546-000;Sul
Rua Quatá;Vila Olímpia;53;1;2;Studio e kitnet;4800;6101;04546-041;Sul
Rua Giácomo Cozzarelli;Vila Santa Teresa;49;2;1;Apartamento;1375;1738;04190-000;Sul
Rua Calógero Calía;Vila Santo Estefano;90;3;2;Apartamento;2500;3796;04152-100;Sul
Rua Paolo Coviello;Vila Moinho Velho;140;3;2;Casa;2800;3076;04284-050;Sul
Rua Giuseppe Moscatti;Jardim Oriental;150;2;5;Casa;2300;2543;04349-130;Sul
Avenida Piassanguaba;Planalto Paulista;70;1;1;Casa;2080;2353;04060-000;Sul
Rua Joel Jorge de Melo;Vila Mariana;40;1;0;Casa;1980;2214;04128-080;Sul
Rua Padre Chico;Santo Amaro;150;3;2;Casa em condomínio;3500;3966;04685-000;Sul
Rua Jorge Tibiriçá;Vila Mariana;196;3;2;Casa;4500;5275;04119-000;Sul
Travessa Maria Bela Rodrigues;Vila Brasilina;35;1;0;Casa em condomínio;1000;1098;04163-120;Sul
Rua Clemente Pereira;Ipiranga;54;2;0;Apartamento;1820;1923;04216-060;Sul
Rua Guararapes;Brooklin Paulista;107;2;1;Casa;3950;4263;04561-000;Sul
Rua dos Guaxins;Planalto Paulista;300;4;4;Casa;8000;8840;04058-010;Sul
Avenida Moaci;Planalto Paulista;60;2;0;Casa;2368;2747;04029-200;Sul
Rua Doutor Nicolau Alberto Defina;Jardim da Saúde;69;2;1;Apartamento;1881;2633;04291-000;Sul
Rua Léo de Morais;Vila das Mercês;75;2;1;Apartamento;2250;2337;04165-011;Sul
Rua Doutor Mário Vicente;Vila Dom Pedro I;35;1;0;Casa;2000;2037;04270-000;Sul
